uniquewords,Repetitions
FS:G-UNKNOWN,2
FS:GALA,2
FS:GAS,2
FS:GS,2
FS:H-HERO,2
FS:H-HOLLOWAY,2
FS:H-INDECIPHERABLE,2
FS:HAYLING,2
FS:HAYLINGHY,2
FS:HENRY,2
FS:HOLLYWOODHW,2
FS:HONITON,2
FS:HTV,2
FS:HUMMUS,2
FS:HYDE,2
FS:I-INFLAMMATION,2
FS:I-INTERIM,2
FS:ID,2
FS:INDECIPHERABLEKUA,2
FS:INDECIPHERABLESAL,2
FS:INK,2
FS:IT,2
FS:JANUARYJAN,2
FS:JANUARYJN,2
FS:JOAN,2
FS:KEYSELL,2
FS:LOCH,2
FS:M,2
FS:M-INDECIPHERABLE,2
FS:M-MANCHESTER,2
FS:M-MICHAEL,2
FS:MECCAMECA,2
FS:MIDDLESBROUGH,2
FS:MIDDLESBROUGHMB,2
FS:MIDDLESBROUGHMD,2
FS:N-NOTICE,2
FS:NESSNES,2
FS:NEWHAMNEWHM,2
FS:NEWS,2
FS:NEWSNWS,2
FS:NO,2
FS:NOVEMBER,2
FS:OAP,2
FS:ORR,2
FS:P-PLANET,2
FS:P-PORTSMOUTH,2
FS:P-PRAIRIE,2
FS:P-PROOFREAD,2
FS:P-UNKNOWN,2
FS:PAIGNTON,2
FS:PAT,2
FS:PORT,2
FS:R-INDECIPHERABLE,2
FS:REGIS,2
FS:REGISREGS,2
FS:RIGID,2
FS:RNID,2
FS:S-SEASON,2
FS:S-SHILLING,2
FS:S-SQUATTERS,2
FS:S-SUPER,2
FS:SAND,2
FS:SARAH,2
FS:SATURDAYSAT,2
FS:SNOWY,2
FS:SOAP,2
FS:SPINE,2
FS:STAGETEXTSTAGETXT,2
FS:T-TEACHER,2
FS:T-TONSILS,2
FS:TALBOTTBOT,2
FS:TEACHING-ASSISTANTTA,2
FS:TERRY,2
FS:THANTN,2
FS:THENN,2
FS:THURSDAY,2
FS:TINTIN,2
FS:TONY,2
FS:TORQUAY,2
FS:TOYS,2
FS:TRACHEOTOMY,2
FS:TRACHEOTOMYTR,2
FS:TUMOUR,2
FS:UNIPHONE,2
FS:UNKNOWNG,2
FS:UNKNOWNSWD,2
FS:VICKY,2
FS:VISA,2
FS:WAR,2
G:CA:AEROBICS,2
G:CA:ANIMAL,2
G:CA:AWKWARD-POSITION,2
G:CA:BACKS-OFF,2
G:CA:BLIND-MAN-WITH-CANE,2
G:CA:CARRY-DOG,2
G:CA:CARRY-OBJECT,2
G:CA:CARRY-TRAY,2
G:CA:CHECK-WATCH,2
G:CA:COOL-MOUTH,2
G:CA:COVER-MOUTH-IN-PAIN,2
G:CA:CRADLE-BABY,2
G:CA:EXCLAIMS-IN-FRUSTRATED,2
G:CA:FEEL-SLIMY-SUBSTANCE,2
G:CA:FIDGET,2
G:CA:GIVE-BOWL,2
G:CA:GRAB-PERSON,2
G:CA:GRIPS-THIGH,2
G:CA:GRIPS-THIGHS,2
G:CA:HAND-OVER-OBJECT,2
G:CA:HANG-UP-ITEM,2
G:CA:HOLD-BABY-ON-LAP,2
G:CA:HOLD-BALL,2
G:CA:HOLD-BY-REINS,2
G:CA:HOLD-COMPUTER-GAME,2
G:CA:HOLD-HAND,2
G:CA:HOLD-HANDS-UP-IN-DELIGHT,2
G:CA:HOLD-MONEY-UP,2
G:CA:LOOK-SURPRISED,2
G:CA:MODEL-JUMPER,2
G:CA:MOVE-ARMS-ABOUT,2
G:CA:MOVE-AROUND,2
G:CA:OPEN-CIGARETTE-PACKET,2
G:CA:PANIC,2
